invoice_id,subscription_id,issue_date,due_date,paid_date,invoice_amount,currency,payment_status,payment_method,tax_applied,created_at
I01553,S00593,03/19/2025,2025-04-18,,293.28,GBP,FAILED,paypal,TRUE,2025-03-19 0:00
I01629,S02547,11/15/2023,12/15/2023,12/11/2023,397.73,EUR,,,TRUE,2023-11-15 0:00
I00045,S03734,2025-02-13,0000-00-00,0000-00-00,218.97,,partial,wire,0,2025-02-13 0:00
I00559,S03854,07/25/2024,2024-08-24,2024-08-25,256.39,,,,,2024-07-25 0:00
I00780,S02326,0000-00-00,03/02/2023,2023-02-17,,CAD,PAID,paypal,,2023-01-31 0:00
I00494,S03568,0000-00-00,2024-12-02,,84.58,USD,FAILED,,0,2024-11-02 0:00
I00760,S00734,2025-02-27,2025-03-29,2025-04-02 0:00,382.28,EUR,refunded,invoice,FALSE,2025-02-27 0:00
I00203,S00375,0000-00-00,,2025-03-11,226.46,GBP,paid,paypal,,2025-02-07 0:00
I01144,S00623,2023-01-13,02/12/2023,,372.73,CAD,FAILED,invoice,FALSE,2023-01-13 0:00
I01274, S01346,0000-00-00,0000-00-00,2023-08-09 0:00,43.27,EUR,,CARD,FALSE,2023-08-02 0:00
I00030,S02720,2024-03-14,2024-04-13,2024-04-19,295.26,EUR,,,,2024-03-14 0:00
I00176,S03437,06/04/2023,07/04/2023,,103.15,USD,partial,invoice,FALSE,2023-06-04 0:00
I01553,S02930,05/12/2023,2023-06-11,,40.72,usd,refunded,,TRUE,2023-05-12 0:00
I00578,S01390,2024-02-28,03/29/2024,03/30/2024,475.09,usd,FAILED,,1,2024-02-28 0:00
I01619,s02797,,,,301.78,EUR,,CARD,,2024-11-22 0:00
I01189,S02004,07/27/2023,2023-08-26,2023-08-11,126.06,EUR,refunded,,TRUE,2023-07-27 0:00
 I00677,S00146,0000-00-00,07/14/2024,2024-06-23 0:00,183.16,EUR,FAILED,paypal,1,2024-06-14 0:00
I00859,S02460,,2024-10-08,,292.87,USD,,invoice,TRUE,2024-09-08 0:00
I00131,S02310,06/13/2024,,,229.36,USD,partial,card,FALSE,2024-06-13 0:00
I00825,S00141,2023-04-08,05/08/2023,2023-05-10,492.8,usd,FAILED,card,,2023-04-08 0:00
I00033,S03077,0000-00-00,08/02/2024,,17.03,USD,PAID,,,2024-07-03 0:00
I00605,s02002,0000-00-00,2023-12-31 0:00,2024-01-08,344.91,usd,paid,,TRUE,2023-12-01 0:00
 I01075,S00277,2023-08-01 0:00,0000-00-00,0000-00-00,246.78,USD,partial,,FALSE,2023-08-01 0:00
I01088,s00002,2023-05-09 0:00,2023-06-08,0000-00-00,171.68,USD,FAILED,,0,2023-05-09 0:00
I00901,s01876,10/07/2023,0000-00-00,11/10/2023,93.62,GBP,partial,,FALSE,2023-10-07 0:00
I01689, S00728,2025-01-28,02/27/2025,2025-02-09,268.74,EUR,refunded,wire,FALSE,2025-01-28 0:00
I00500,S01892,03/06/2024,04/05/2024,,451.12,usd,refunded,wire,,2024-03-06 0:00
I01344,s01699,2024-02-23,03/24/2024,2024-03-06 0:00,271.24,CAD,PAID,wire,,2024-02-23 0:00
I01644,S02802,2024-05-21 0:00,2024-06-20,05/30/2024,388.05,,,,0,2024-05-21 0:00
I00378,S00458,0000-00-00,2023-07-12 0:00,2023-07-14,205.39,,PAID,,0,2023-06-12 0:00
I00381,S03521,2023-07-25,08/24/2023,09/01/2023,226.75,EUR,refunded,wire,FALSE,2023-07-25 0:00
I01530,s03783,0000-00-00,0000-00-00,2024-09-14,,,FAILED,CARD,FALSE,2024-08-20 0:00
I01169,S02017,0000-00-00,2024-01-05,,111.38,usd,failed,wire,TRUE,2023-12-06 0:00
I00622,S03178,2025-01-07,2025-02-06,,418.5,usd,FAILED,wire,TRUE,2025-01-07 0:00
I00150,s00684,2024-03-24 0:00,04/23/2024,0000-00-00,498.38,,,,FALSE,2024-03-24 0:00
