subscription_id,user_id,plan_name,billing_cycle,price_amount,currency,status,start_date,end_date,payment_method,auto_renew,cancel_reason,created_at,updated_at
S00120,U001816,Free,Monthly,0,usd,active,11/18/2023,,invoice,1,onboarding difficulty,2023-11-18 0:00,06/04/2024
S00753, U000593 ,Starter,Monthly,,GBP,paused,25-06-2023,2024-06-07,CARD,1,,06/25/2023,27-07-2023
S00586,U002332,Starter,annual,25,GBP,ACTIVE,2023-11-08 0:00,,paypal,TRUE,missing features,2023-11-08 0:00,2024-02-23 0:00
S00647,U000734,Enterprise,ANNUAL,499,GBP,trialing,2023-02-27,,wire,1,low usage,27-02-2023,2023-09-03
S00120, U001261 ,Pro,,49,,CANCELLED,2023-05-31,2024-05-27,paypal,TRUE,too expensive,2023-05-31 0:00,2023-08-20
S02236,U002216,Trial,Monthly,0,CAD,CANCELLED,2024-11-17,10-07-2025,card,TRUE,,17-11-2024,2025-05-28 0:00
s00919,U001854,Pro,,50,USD,past_due,08/08/2024,,,,switched competitor,08-08-2024,11/25/2024
S03940,U002327,Trial,,0,usd,canceled,22-03-2025,12/20/2025,wire,TRUE,performance issues,03/22/2025,2025-04-10
S00593,U001546,Starter,annual,,USD,past_due,11/18/2024,0000-00-00,paypal,,,18-11-2024,24-05-2025
S03742,U002116,Free,,0,,ACTIVE,03/14/2025,,CARD,,switched competitor,2025-03-14,24-06-2025
S01882,U002252,Trial,annual,0,,ACTIVE,2024-10-01,,invoice,1,switched competitor,10/01/2024,2025-02-11
S01647,U002534,Pro,Monthly,59,USD,active,29-09-2024,,paypal,0,N/A,2024-09-29,12/21/2024
S00469,U001135,Business,Monthly,120,USD,paused,2025-05-24,04-12-2025,CARD,1,too expensive,05/24/2025,10/05/2025
S03359,U001869,Business,monthly,99,CAD,active,2023-11-28,,,,performance issues,2023-11-28,11/30/2023
s01184,U000532,business,,120,,past_due,11-09-2023,,wire,TRUE,onboarding difficulty,2023-09-11,03/18/2024
S01345,u001190,free,annual,0,EUR,trialing,07/22/2024,0000-00-00,,1,,22-07-2024,09/02/2024
S03245,U000630,Trial,annual,0,CAD,canceled,21-07-2023,2023-09-01,paypal,1,,2023-07-21,2023-09-06
S01493,U000498,Free,,0,GBP,paused,2023-08-11,21-07-2024,,TRUE,N/A,08/11/2023,01-12-2023
S03539,U000745,Pro,monthly,49,usd,ACTIVE,09/09/2024,,CARD,1,switched competitor,2024-09-09,03/03/2025
S04309,U000536,Business,Monthly,99,EUR,canceled,09/25/2024,12-05-2025,wire,TRUE,N/A,2024-09-25 0:00,15-12-2024
S02748,U000421,Trial,ANNUAL,0,USD,CANCELLED,04/23/2023,2024-03-24,,,too expensive,04/23/2023,2023-09-15
S02977,U000915,Business,monthly,99,EUR,active,11/11/2024,,card,TRUE,,11-11-2024,2025-03-27
S03087,U002151,Business,annual,99,EUR,past_due,2023-08-31,,paypal,0,,2023-08-31,01-02-2024
S03862,U001595,Free,,0,USD,trialing,08-07-2024,,invoice,0,missing features,2024-07-08,2024-12-02
S03295,U002064,Pro,,50,,trialing,2023-10-17,,,FALSE,missing features,2023-10-17,2024-05-02
S02824,U000232,Trial,monthly,0,usd,past_due,2023-06-04,,invoice,FALSE,,04-06-2023,2023-08-14
S00455,U001230,Business,Monthly,149,usd,ACTIVE,04/21/2024,,,0,low usage,21-04-2024,07/12/2024
S01706,U001507,Enterprise,ANNUAL,custom,,canceled,2025-06-05 0:00,2025-12-28,,0,performance issues,2025-06-05,13-12-2025
S03374,U001819,Enterprise,,custom,,active,20-08-2024,,card,,,2024-08-20,09/14/2024
S00784,U002578,Pro,monthly,50,,paused,2024-07-28 0:00,06/24/2025,card,1,N/A,2024-07-28 0:00,2024-11-02 0:00
 S01979,U001223,Business,,120,,CANCELLED,2023-06-25,2024-07-16,paypal,,,2023-06-25 0:00,17-11-2023
S03683,U000654,Free,monthly,0,,CANCELLED,2025-01-20,04/11/2025,CARD,,switched competitor,20-01-2025,17-02-2025
S02130,U001407,Enterprise,,custom,GBP,canceled,11/21/2024,2025-08-03 0:00,wire,TRUE,performance issues,21-11-2024,13-02-2025
