ticket_id,user_id,category,priority,status,support_channel,sentiment,assigned_agent,created_date,resolved_date,resolution_time_hours,created_at
T00859,U000367,Bug,Urgent,resolved,email,,,2024-07-20 0:00,0000-00-00,206,2024-07-20 0:00
T01294,U000586,Account,High,pending,Chat,,A.Smith,2023-05-31 0:00,06/01/2023,unknown,2023-05-31 0:00
T00843,U000711,Billing,,pending,,,R.Patel,12/17/2024,,,2024-12-17 0:00
T00069,U001360,Feature Request,High,pending,email,negative,M.Chen,05/23/2025,,unknown,2025-05-23 0:00
T01306,U001222,Billing,Urgent,OPEN,,neutral,S.Khan,2024-11-17,,,2024-11-17 0:00
T00036,U002237,Feature Request,Low,pending,,,,0000-00-00,2023-02-17,,2023-01-29 0:00
T00302,u000988,Integration,low,RESOLVED,Phone,negative,,02/01/2025,0000-00-00,222,2025-02-01 0:00
T00385,u002136,Onboarding,,closed,In-App,neutral,M.Chen,01/12/2024,01/31/2024,,2024-01-12 0:00
T00788,U001491,Onboarding,,resolved,In-App,positive,,2024-04-12 0:00,04/21/2024,unknown,2024-04-12 0:00
T00360,U000507,Onboarding,High,RESOLVED,Chat,neutral,A.Smith,2024-09-21,,,2024-09-21 0:00
T00012,U002599,Feature Request,High,closed,In-App,negative,,2024-08-29,2024-09-08 0:00,,2024-08-29 0:00
T00759,U002468,Onboarding,Low,resolved,Chat,neutral,,0000-00-00,05/01/2023,unknown,2023-04-12 0:00
T01191,U001049,Account,,OPEN,Chat,NEGATIVE,R.Patel,2024-10-18 0:00,,,2024-10-18 0:00
 T00380,U000847,Account,High,resolved,,positive,M.Chen,01/31/2025,,99,2025-01-31 0:00
T01342,U002209,Other,Urgent,RESOLVED,Phone,positive,R.Patel,2025-04-24,2025-05-14,3,2025-04-24 0:00
T00142,U001813,Billing,,open,Phone,positive,A.Smith,2023-03-30,,131,2023-03-30 0:00
T00023,U001991,Feature Request,,OPEN,email,,J.Doe,2025-01-07,0000-00-00,,2025-01-07 0:00
T00128,U001248,Bug,,pending,In-App,positive,M.Chen,2025-06-11 0:00,,72,2025-06-11 0:00
T00821, U001311 ,Performance,Urgent,OPEN,In-App,neutral,S.Khan,,,,2023-02-20 0:00
T01460,U000543,Feature Request,High,open,Phone,neutral,S.Khan,2024-06-16,2024-06-21,,2024-06-16 0:00
T01378,U000879,Billing,Urgent,closed,,,J.Doe,,2023-08-17,unknown,2023-07-24 0:00
T01080,U001620,Account,,RESOLVED,Phone,NEGATIVE,,2024-10-25,0000-00-00,,2024-10-25 0:00
 T00335,U000496,Billing,Medium,open,Phone,neutral,J.Doe,0000-00-00,2025-01-06,191,2024-12-13 0:00
T00923,U002597,Other,low,resolved,Phone,positive,,2025-04-22,,,2025-04-22 0:00
T00019,U001952,Other,low,resolved,email,negative,,,0000-00-00,unknown,2024-01-25 0:00
T01218,U000728,Billing,Urgent,closed,,,A.Smith,2024-03-20 0:00,04/04/2024,unknown,2024-03-20 0:00
 T00359,u000616,Performance,low,pending,Email,neutral,M.Chen,04/24/2023,2023-05-20,,2023-04-24 0:00
 T00778,U000197,Performance,High,OPEN,In-App,,,11/25/2023,2023-12-24,84,2023-11-25 0:00
T00713,U002034,Onboarding,High,pending,Chat,positive,,,,,2023-05-14 0:00
T00108,U000916,Onboarding,Urgent,open,Phone,negative,,2024-12-11,12/27/2024,,2024-12-11 0:00
T00625,U002516,Account,Urgent,OPEN,Email,NEGATIVE,,0000-00-00,0000-00-00,124,2024-04-19 0:00
T00841,U001710,Feature Request,Medium,OPEN,Phone,NEGATIVE,M.Chen,01/19/2025,,,2025-01-19 0:00
T00142,U001818,Bug,Low,resolved,In-App,negative,,2025-02-07 0:00,,,2025-02-07 0:00
T00262,U002338,Onboarding,Urgent,closed,,negative,S.Khan,0000-00-00,01/10/2024,,2024-01-10 0:00
T00952,U001447,Billing,Medium,open,Email,positive,J.Doe,2025-03-27,,,2025-03-27 0:00
T01413,U000966,Account,,resolved,Email,NEGATIVE,M.Chen,0000-00-00,2023-04-10 0:00,,2023-03-16 0:00
T00370,U002317,Integration,,resolved,In-App,,R.Patel,2023-06-01,06/22/2023,,2023-06-01 0:00
T00301,U001062,Onboarding,Urgent,pending,,positive,,0000-00-00,,unknown,2023-09-27 0:00
T01113,u001374,Bug,low,OPEN,Phone,positive,R.Patel,2023-05-20,2023-05-25,,2023-05-20 0:00
T00559,USR-002530,Account,Low,RESOLVED,Email,,S.Khan,2024-04-06,0000-00-00,79,2024-04-06 0:00
T00222,U000706,Onboarding,Medium,OPEN,,positive,J.Doe,06/02/2023,0000-00-00,unknown,2023-06-02 0:00
T00349,U000936,Bug,Low,open,Phone,NEGATIVE,,11/26/2024,0000-00-00,,2024-11-26 0:00
T00405,U002381,Bug,,open,Phone,,M.Chen,0000-00-00,0000-00-00,,2024-04-22 0:00
T00283,U000154,Onboarding,,pending,email,,S.Khan,0000-00-00,,,2023-06-20 0:00
T00364,U001667,Integration,Low,OPEN,In-App,positive,A.Smith,0000-00-00,2023-03-28,188,2023-03-18 0:00
T00864,U001515,Feature Request,Medium,RESOLVED,In-App,neutral,M.Chen,2024-12-10 0:00,2024-12-26,29,2024-12-10 0:00
T00562,U002327,Billing,Low,pending,Phone,negative,,,2024-11-19,,2024-11-02 0:00
T00795, U002474 ,Performance,,open,Chat,NEGATIVE,J.Doe,0000-00-00,0000-00-00,200,2024-11-15 0:00
T01363,U000299,Feature Request,Low,open,Phone,NEGATIVE,R.Patel,0000-00-00,0000-00-00,unknown,2023-10-09 0:00
t01089,U000014,Bug,High,pending,Chat,positive,R.Patel,2025-01-27,0000-00-00,unknown,2025-01-27 0:00
T00406,U000118,Billing,Medium,closed,,neutral,R.Patel,2025-01-28 0:00,,,2025-01-28 0:00
T01051,USR-000952,Performance,Low,pending,,NEGATIVE,,,,,2024-05-17 0:00
T00918,U001900,Onboarding,High,closed,,neutral,,2024-12-23 0:00,,38,2024-12-23 0:00
T00100,U001572,Onboarding,High,RESOLVED,Email,NEGATIVE,R.Patel,2025-03-27,04/14/2025,,2025-03-27 0:00
T00308,U001208,Account,Urgent,closed,email,,R.Patel,2025-01-27 0:00,02/26/2025,,2025-01-27 0:00
T00238,U000648,Integration,Low,closed,Email,,,06/25/2023,,147,2023-06-25 0:00
T01165,U001022,Onboarding,Low,closed,,negative,,0000-00-00,2024-09-07,unknown,2024-08-25 0:00
T00832,U001720,Onboarding,Urgent,RESOLVED,Email,,M.Chen,2023-12-03,,178,2023-12-03 0:00
T00838,U001686,Onboarding,Urgent,RESOLVED,Phone,neutral,,,2024-03-11 0:00,183,2024-02-20 0:00
 T00046,U001195,Other,Medium,OPEN,In-App,positive,R.Patel,2025-03-25 0:00,2025-03-29 0:00,,2025-03-25 0:00
T00866,u002294,Bug,,pending,,positive,R.Patel,2024-06-15,2024-06-23 0:00,,2024-06-15 0:00
