event_id,user_id,event_type,page_url,event_timestamp,device_type,browser,os,session_duration_seconds,error_flag,created_at
E006527,U002391,doc_edit,,08/12/2024 16:15,desktop,,macOS,,FALSE,2024-08-12 16:15
E000158,U001823,integration_connect,,2023-04-26,tablet,,,unknown,,2023-04-26 16:27
E005519,U002207,ai_search,,04/23/2025 20:30,mobile,Firefox,Android,unknown,,2025-04-23 20:30
E006074,U000237,comment,,,tablet,Edge,macOS,,TRUE,2025-06-05 6:16
E001340,U001804,doc_create,,06/13/2024 13:16,mobile,Brave,macOS,,0,2024-06-13 13:16
E008218,U000363,doc_create,,08/21/2024 20:48,desktop,Brave,Windows,unknown,FALSE,2024-08-21 20:48
E006564,U000210,export,,2023-09-13 16:15,mobile,Chrome,,1514,TRUE,2023-09-13 16:15
E004265,U001094,integration_connect,,04/23/2025 05:27,DESKTOP,Edge,macOS,,,2025-04-23 5:27
E003741,U000008,login,/docs,,mobile,Safari,Android,unknown,1,2023-09-23 22:46
E007885,U002499,page_view,/admin,02/27/2023 14:57,DESKTOP,Chrome,macOS,unknown,TRUE,2023-02-27 14:57
E008772,U001702,ai_search,,02/13/2023 21:57,mobile,Brave,macOS,383,,2023-02-13 21:57
E008001,U001807,comment,,2023-04-17 4:39,mobile,Edge,,543,1,2023-04-17 4:39
E001585,U002154,page_view,/pricing,03/01/2025 21:12,desktop,Brave,Windows,1298,TRUE,2025-03-01 21:12
E002778,U001880,logout,/help,2024-05-11,,Safari,Android,,FALSE,2024-05-11 6:49
E006506,U000784,doc_edit,,,desktop,Safari,Linux,unknown,TRUE,2025-01-21 0:04
E005694,U002159,share,,2024-12-22 15:20,,Chrome,macOS,unknown,FALSE,2024-12-22 15:20
E000204,U002031,search,,2024-03-17 6:57,tablet,Brave,Linux,1769,1,2024-03-17 6:57
E008712,U002081,page_view,/onboarding,,tablet,Edge,Android,,TRUE,2025-01-17 11:38
E003496,U000983,ai_search,,2024-03-15,DESKTOP,,macOS,162,,2024-03-15 22:49
E001859,U000666,SHARE,,07/25/2024 17:35,tablet,Edge,,,1,2024-07-25 17:35
E004940,u001222,login,/billing,2023-12-23,desktop,,,,FALSE,2023-12-23 11:56
E005740,U000522,integration_error,,03/22/2025 10:54,,Firefox,Windows,,TRUE,2025-03-22 10:54
E002939,U000063,SHARE,,12/12/2024 21:08,,Brave,Windows,unknown,,2024-12-12 21:08
E005444,U000811,comment,,,DESKTOP,,Windows,,,2023-11-19 4:14
E007832,u000778,comment,,2024-09-14 8:55,tablet,,Linux,,FALSE,2024-09-14 8:55
E004099, U002514 ,page_view,/dashboard,08/25/2024 06:54,tablet,,Linux,,TRUE,2024-08-25 6:54
E005806,U000597,COMMENT,,03/09/2024 19:48,desktop,,iOS,,,2024-03-09 19:48
E007708,U001246,doc_create,,10/29/2023 13:31,mobile,Brave,Linux,unknown,,2023-10-29 13:31
E004042,U000230,comment,,02/08/2025 14:18,desktop,,,,FALSE,2025-02-08 14:18
e005315,U002575,LOGOUT,/pricing,,,Chrome,,,TRUE,2023-11-03 3:52
E002944,U001926,share,,2025-01-30 23:42,,Chrome,iOS,,TRUE,2025-01-30 23:42
E002477,U000034,share,,01/13/2023 09:33,mobile,Chrome,Linux,,FALSE,2023-01-13 9:33
E004649,U001305,ai_search,,05/05/2025 04:10,DESKTOP,Firefox,macOS,130,,2025-05-05 4:10
E004116,U000500,search,,2024-07-28,tablet,Firefox,Android,1558,,2024-07-28 19:13
E006615,U000818,doc_delete,,2025-04-04 8:08,tablet,,macOS,,TRUE,2025-04-04 8:08
E008496,U000530,ai_search,,10/10/2024 01:41,desktop,Firefox,iOS,83,FALSE,2024-10-10 1:41
E001690,U000706,AI_SEARCH,,11/19/2023 03:48,mobile,Safari,,unknown,TRUE,2023-11-19 3:48
E006320,U001927,integration_error,,,mobile,Firefox,Windows,unknown,1,2024-05-12 3:22
E004928,U000230,doc_create,,07/04/2023 12:03,DESKTOP,Chrome,,unknown,FALSE,2023-07-04 12:03
E002863,U001126,export,,2023-06-16 0:24,,Firefox,Windows,unknown,TRUE,2023-06-16 0:24
E005483,U000974,page_view,/search,0000-00-00 00:00:00,tablet,Chrome,macOS,unknown,1,2023-10-20 16:16
E003241,U001384,doc_create,,01/01/2023 02:47,DESKTOP,Firefox,Android,,FALSE,2023-01-01 2:47
E001741,U002580,EXPORT,,2024-03-02 15:54,,Firefox,,,FALSE,2024-03-02 15:54
E006830,U001070,share,,2024-06-26 15:55,desktop,Chrome,Windows,,TRUE,2024-06-26 15:55
E006164,U000384,doc_create,,2023-09-06 16:49,DESKTOP,Firefox,,455,TRUE,2023-09-06 16:49
E007168,U002080,export,,,DESKTOP,Chrome,macOS,1259,,2023-07-07 12:16
E006836,U000769,doc_edit,,12/07/2024 04:06,,Chrome,iOS,unknown,,2024-12-07 4:06
E002594,U001261,search,,2025-06-06,desktop,,Windows,49,1,2025-06-06 1:17
E007379, U002414 ,doc_create,,2024-03-15,,Safari,Linux,unknown,TRUE,2024-03-15 22:22
E006383,U002145,export,,04/09/2023 06:28,,Brave,,,,2023-04-09 6:28
E000707,U001972,integration_connect,,08/11/2023 15:39,,Chrome,,1596,0,2023-08-11 15:39
E007602,U001310,doc_delete,,01/15/2025 10:41,desktop,Safari,Linux,unknown,0,2025-01-15 10:41
E007638,U000436,ai_search,,2025-03-17 17:33,tablet,Brave,,,TRUE,2025-03-17 17:33
E001724,U001018,doc_delete,,2024-02-17,,Chrome,Windows,,0,2024-02-17 5:28
E004772,U002586,comment,,11/26/2023 04:30,,Chrome,Android,109,TRUE,2023-11-26 4:30
E000190,U001182,login,/help,2023-02-21 16:47,desktop,Safari,,1556,,2023-02-21 16:47
E005130,U001532,share,,02/16/2025 17:41,mobile,Safari,Android,,TRUE,2025-02-16 17:41
E008294,U001166,integration_connect,,2023-03-14 6:30,,Edge,,93,TRUE,2023-03-14 6:30
E000882,U000349,logout,/billing,03/25/2024 06:43,desktop,,Windows,,,2024-03-25 6:43
E002949,U002388,doc_create,,01/14/2025 08:50,mobile,Brave,iOS,unknown,TRUE,2025-01-14 8:50
E004969,U002411,logout,/docs,03/14/2023 00:27,,Chrome,macOS,626,1,2023-03-14 0:27
E005144,U000723,integration_error,,2024-01-31,DESKTOP,Edge,Linux,,0,2024-01-31 21:52
E008191,U000455,comment,,2023-02-09,,,macOS,,1,2023-02-09 8:09
E004760,USR-001351,integration_error,,04/25/2024 19:38,tablet,,,70,1,2024-04-25 19:38
E007322,U000180,DOC_EDIT,,2025-02-22,,Brave,,unknown,FALSE,2025-02-22 15:58
E005555,USR-001571,integration_connect,,09/18/2023 06:30,,Brave,Linux,unknown,FALSE,2023-09-18 6:30
E002386,U002147,doc_delete,,01/26/2023 19:36,,Firefox,,unknown,,2023-01-26 19:36
e005361,U001808,doc_edit,,2024-10-28,,Edge,Android,,FALSE,2024-10-28 3:17
E000649, U001606 ,page_view,/admin,2025-03-14 5:01,,Brave,macOS,,,2025-03-14 5:01
E008690,U002069,ai_search,,2023-05-30 9:26,tablet,Safari,Android,unknown,TRUE,2023-05-30 9:26
E006327,USR-000669,share,,05/15/2024 05:51,,,,unknown,,2024-05-15 5:51
 E008127,U002533,share,,09/10/2023 22:37,,Brave,iOS,1433,FALSE,2023-09-10 22:37
E005755,U000439,integration_error,,2023-10-06 14:00,desktop,Brave,,,TRUE,2023-10-06 14:00
E008577,U000045,search,,03/27/2025 06:39,DESKTOP,Brave,iOS,unknown,TRUE,2025-03-27 6:39
E007846, U000387 ,integration_error,,2025-02-12 14:08,,,macOS,,1,2025-02-12 14:08
